,Zip Code,Org Code,Org Name,Org Type,Year,Job Category,Nonwhite (Num Stu),Total Students,Nonwhite (Num Staff),Total Staff,Perc Nonwhite Students,Perc Nonwhite Staff,Nonwhite Leader,Median Income,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White,Percent Nonwhite Residents,In Boston,Residuals,Residuals Group
1124,02116,350565,Boston: Quincy Upper School,Public School,2015,All Staff,466.0,497,31.1,52.1,93.7625754527163,59.69289827255279,True,93059.0,10.6,92.5,76.4,76.3,23.700000000000003,Boston,4.729328959019817,High
1125,02116,350690,Boston: Snowden International School at Copley,Public School,2015,All Staff,360.0,389,12.999999999999996,39.8,92.54498714652956,32.66331658291456,False,93059.0,10.6,92.5,76.4,76.3,23.700000000000003,Boston,-14.328823943473182,Low
1127,02118,350390,Boston: Blackstone,Public School,2015,All Staff,586.0,601,31.0,70.2,97.50415973377704,44.159544159544154,False,62300.0,26.0,83.5,57.1,53.2,46.8,Boston,-3.11845236654608,Low
1130,02119,350072,Boston: David A Ellis,Public School,2015,All Staff,425.0,430,39.0,48.8,98.83720930232558,79.91803278688525,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,23.192560202383724,High
1131,02119,350543,Boston: Greater Egleston Community High School,Public School,2015,All Staff,186.0,202,12.100000000000001,16.1,92.07920792079209,75.15527950310559,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,21.24383889243908,High
1133,02119,350010,Boston: Haynes Early Education Center,Public School,2015,All Staff,175.0,178,31.000000000000004,43.7,98.31460674157303,70.93821510297484,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,11.327465167274383,High
1134,02119,350377,Boston: Higginson/Lewis K-8,Public School,2015,All Staff,408.0,416,29.6,45.6,98.07692307692307,64.91228070175438,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,8.657634787917566,High
1135,02119,350485,Boston: James P Timilty Middle,Public School,2015,All Staff,481.0,486,24.1,49.1,98.97119341563786,49.08350305498982,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,-7.016202706440417,Low
1136,02119,350243,Boston: Nathan Hale,Public School,2015,All Staff,171.0,176,7.199999999999999,15.7,97.1590909090909,45.859872611464965,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,-12.780068868155752,Low
1137,02119,350257,Boston: Orchard Gardens,Public School,2015,All Staff,824.0,837,45.00000000000001,97.9,98.4468339307049,45.96527068437181,False,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,3.315556311504423,High
1138,02119,350691,Boston: Rafael Hernandez,Public School,2015,All Staff,405.0,422,30.700000000000003,42.7,95.97156398104265,71.89695550351288,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,17.53881094678153,High
1139,02119,350304,Boston: Samuel W Mason,Public School,2015,All Staff,229.0,242,21.9,35.5,94.62809917355372,61.69014084507042,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,6.108411530234562,High
1140,02119,4240505,Boston Day and Evening Academy Charter (District): Boston Day and Evening Academy Charter School,Charter School,2015,All Staff,348.0,380,15.8,35.1,91.57894736842105,45.01424501424501,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,-0.75831467325375,Low
1141,02119,4370505,City on a Hill Charter Public School Circuit Street (District): City on a Hill Charter Public School Circuit Street,Charter School,2015,All Staff,282.0,287,14.100000000000001,58.9,98.25783972125436,23.938879456706285,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,-28.829269725024037,Low
1142,02119,4070405,Dudley Street Neighborhood Charter School (District): Dudley Street Neighborhood Charter School,Charter School,2015,All Staff,220.0,220,14.5,23.0,100.0,63.04347826086957,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,7.884691674718319,High
1143,02119,350015,Boston: Higginson,Public School,2015,All Staff,165.0,173,18.0,31.1,95.37572254335261,57.87781350482315,False,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,9.087739288689093,High
1144,02119,35040505,City on a Hill Charter Public School Dudley Square (District): City on a Hill Charter Public School Dudley Square,Charter School,2015,All Staff,188.0,192,12.0,39.0,97.91666666666666,30.76923076923077,True,28885.0,37.5,76.3,24.0,15.1,84.9,Boston,-22.962202329215646,Low
1145,02120,350540,Boston: Fenway High School,Public School,2015,All Staff,301.0,328,19.0,33.0,91.76829268292683,57.57575757575758,True,30487.0,43.2,84.3,41.4,46.5,53.5,Boston,6.487363370104923,High
1146,02120,350537,Boston: Madison Park High,Public School,2015,All Staff,876.0,921,79.8,155.6,95.11400651465797,51.285347043701805,True,30487.0,43.2,84.3,41.4,46.5,53.5,Boston,5.160318060603089,High
1147,02120,350229,Boston: Maurice J Tobin,Public School,2015,All Staff,435.0,438,19.6,39.0,99.31506849315068,50.256410256410255,True,30487.0,43.2,84.3,41.4,46.5,53.5,Boston,-5.889025053904966,Low
1150,02121,350074,Boston: Dearborn,Public School,2015,All Staff,266.0,273,24.0,36.0,97.43589743589743,66.66666666666666,True,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,10.943424974129414,High
1151,02121,350525,Boston: Jeremiah E Burke High,Public School,2015,All Staff,522.0,539,34.0,59.0,96.84601113172542,57.6271186440678,True,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,5.93465734463026,High
1152,02121,350167,Boston: UP Academy Holland,Public School,2015,All Staff,713.0,720,44.0,90.0,99.02777777777779,48.888888888888886,True,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,-2.290258649191678,Low
1153,02121,350376,Boston: King K-8,Public School,2015,All Staff,488.0,495,31.1,56.0,98.58585858585859,55.53571428571429,True,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,1.7591169352197795,High
1154,02121,350383,Boston: Lilla G. Frederick Middle School,Public School,2015,All Staff,545.0,552,45.99999999999999,67.1,98.73188405797102,68.55439642324887,True,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,15.406412758589397,High
1155,02121,350308,Boston: Sarah Greenwood,Public School,2015,All Staff,405.0,415,34.8,57.0,97.59036144578313,61.052631578947356,True,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,7.076065972849662,High
1156,02121,350370,Boston: William Monroe Trotter,Public School,2015,All Staff,465.0,488,22.0,45.4,95.28688524590164,48.458149779735685,True,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,-2.5638892261751423,Low
1157,02121,4170205,Bridge Boston Charter School (District): Bridge Boston Charter School,Charter School,2015,All Staff,188.0,189,11.700000000000003,34.6,99.47089947089947,33.81502890173411,False,26150.0,40.9,74.4,13.4,9.0,91.0,Boston,-11.075724623252583,Low
1158,02122,350581,Boston: Community Academy of Science and Health,Public School,2015,All Staff,345.0,352,26.0,44.0,98.01136363636364,59.09090909090909,True,52122.0,20.8,76.8,22.1,34.6,65.4,Boston,6.1925571763766385,High
1159,02122,350227,Boston: Mather,Public School,2015,All Staff,569.0,599,35.0,59.5,94.99165275459099,58.82352941176471,False,52122.0,20.8,76.8,22.1,34.6,65.4,Boston,20.15193022089685,High
1162,02122,350328,Boston: Thomas J Kenny,Public School,2015,All Staff,269.0,293,13.999999999999996,36.3,91.80887372013652,38.56749311294765,False,52122.0,20.8,76.8,22.1,34.6,65.4,Boston,-1.4083991732941072,Low
1164,02122,4190305,Helen Y. Davis Leadership Academy Charter Public (District): Helen Y. Davis Leadership Academy Charter Public School,Charter School,2015,All Staff,224.0,224,24.499999999999996,32.8,100.0,74.6951219512195,True,52122.0,20.8,76.8,22.1,34.6,65.4,Boston,23.73632353487885,High
1165,02124,350507,Boston: Boston International High School,Public School,2015,All Staff,376.0,381,30.800000000000004,55.7,98.68766404199475,55.29622980251347,False,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,7.801644660316853,High
1167,02124,350183,Boston: Joseph Lee,Public School,2015,All Staff,626.0,649,46.7,104.9,96.45608628659477,44.51858913250715,True,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,-5.852267355529726,Low
1168,02124,350001,Boston: Lee Academy,Public School,2015,All Staff,206.0,212,21.0,36.0,97.16981132075472,58.333333333333336,True,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,1.560885175022925,High
1169,02124,350138,Boston: O W Holmes,Public School,2015,All Staff,326.0,335,24.200000000000003,39.2,97.31343283582089,61.73469387755103,True,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,6.4667318012922195,High
1170,02124,4380505,Codman Academy Charter Public (District): Codman Academy Charter Public School,Charter School,2015,All Staff,267.0,270,21.9,50.4,98.88888888888889,43.452380952380956,True,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,-8.685345934200306,Low
1172,02124,350657,Boston: TechBoston Academy,Public School,2015,All Staff,954.0,985,41.7,115.8,96.85279187817258,36.010362694300525,True,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,-10.254452904648367,Low
1173,02124,35050405,UP Academy Charter School of Dorchester (District): UP Academy Charter School of Dorchester,Charter School,2015,All Staff,618.0,625,22.5,77.0,98.88,29.22077922077922,True,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,-18.209303909541575,Low
1174,02124,350014,Boston: Pauline Agassiz Shaw Elementary School,Public School,2015,All Staff,105.0,106,3.0,9.0,99.05660377358491,33.33333333333333,0,48350.0,26.0,80.6,23.5,21.9,78.1,Boston,-18.120494806071243,Low
1175,02125,350651,Boston: Dorchester Academy,Public School,2015,All Staff,370.0,382,20.0,49.0,96.8586387434555,40.816326530612244,True,48123.0,34.5,79.6,33.4,34.4,65.6,Boston,-13.925547321040192,Low
