Org Code,SCHOOL,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL,Source,Year
00270010,Berkley - Berkley Community School,79,89,89,86,87,83,0,0,0,0,0,0,0,0,0,513,student_enrollment_2010,2010
00270305,Berkley - Berkley Middle School,0,0,0,0,0,0,108,108,101,91,0,0,0,0,0,408,student_enrollment_2010,2010
04140305,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public,0,0,0,0,0,0,0,34,56,43,46,18,13,6,0,216,student_enrollment_2010,2010
06180505,Berkshire Hills - Monument Mt Reg High,0,0,0,0,0,0,0,0,0,0,121,152,146,176,4,599,student_enrollment_2010,2010
06180310,Berkshire Hills - Monument Valley Regional Middle School,0,0,0,0,0,0,82,85,98,104,0,0,0,0,0,369,student_enrollment_2010,2010
06180035,Berkshire Hills - Muddy Brook Regional Elementary School,21,98,71,60,74,85,0,0,0,0,0,0,0,0,0,409,student_enrollment_2010,2010
00280005,Berlin - Berlin Memorial,7,31,27,26,21,34,38,28,0,0,0,0,0,0,0,212,student_enrollment_2010,2010
06200505,Berlin-Boylston - Tahanto Reg High,0,0,0,0,0,0,0,0,73,80,61,73,68,89,0,444,student_enrollment_2010,2010
00300055,Beverly - Ayers/Ryal Side Sch,42,68,82,62,64,64,65,0,0,0,0,0,0,0,0,447,student_enrollment_2010,2010
00300505,Beverly - Beverly High,0,0,0,0,0,0,0,0,0,0,338,308,274,318,5,1243,student_enrollment_2010,2010
00300305,Beverly - Briscoe Middle,0,0,0,0,0,0,0,311,310,323,0,0,0,0,0,944,student_enrollment_2010,2010
00300010,Beverly - Centerville Elementary,0,76,57,68,60,69,56,0,0,0,0,0,0,0,0,386,student_enrollment_2010,2010
00300015,Beverly - Cove Elementary,65,93,61,83,47,69,69,0,0,0,0,0,0,0,0,487,student_enrollment_2010,2010
00300033,Beverly - Hannah Elementary,0,75,55,56,59,69,61,0,0,0,0,0,0,0,0,375,student_enrollment_2010,2010
00300040,Beverly - North Beverly Elementary,0,43,57,65,69,84,69,0,0,0,0,0,0,0,0,387,student_enrollment_2010,2010
00310505,Billerica - Billerica Memorial High School,130,0,0,0,0,0,0,0,0,0,366,397,350,351,4,1598,student_enrollment_2010,2010
00310030,Billerica - Eugene C Vining,0,34,47,59,41,42,49,0,0,0,0,0,0,0,0,272,student_enrollment_2010,2010
00310007,Billerica - Frederick J Dutile,0,55,59,74,62,77,87,0,0,0,0,0,0,0,0,414,student_enrollment_2010,2010
00310026,Billerica - Hajjar Elementary,0,83,73,107,88,84,105,0,0,0,0,0,0,0,0,540,student_enrollment_2010,2010
00310012,Billerica - John F Kennedy,0,58,71,82,90,82,78,0,0,0,0,0,0,0,0,461,student_enrollment_2010,2010
00310310,Billerica - Locke Middle,0,0,0,0,0,0,0,231,231,229,0,0,0,0,0,691,student_enrollment_2010,2010
00310305,Billerica - Marshall Middle School,0,0,0,0,0,0,0,262,289,270,0,0,0,0,0,821,student_enrollment_2010,2010
00310015,Billerica - Parker,0,62,68,64,64,71,62,0,0,0,0,0,0,0,0,391,student_enrollment_2010,2010
00310005,Billerica - Thomas Ditson,0,110,119,128,135,136,124,0,0,0,0,0,0,0,0,752,student_enrollment_2010,2010
08050605,Blackstone Valley Regional Vocational Technical - Blackstone Valley,0,0,0,0,0,0,0,0,0,0,298,293,279,266,0,1136,student_enrollment_2010,2010
06220015,Blackstone-Millville - A F Maloney,0,0,0,0,0,110,120,0,0,0,0,0,0,0,0,230,student_enrollment_2010,2010
06220505,Blackstone-Millville - Blackstone Millville RHS,0,0,0,0,0,0,0,0,0,0,159,140,115,130,0,544,student_enrollment_2010,2010
06220405,Blackstone-Millville - Frederick W. Hartnett Middle School,0,0,0,0,0,0,0,168,138,194,0,0,0,0,0,500,student_enrollment_2010,2010
06220008,Blackstone-Millville - John F Kennedy Elem,0,115,104,121,108,0,0,0,0,0,0,0,0,0,0,448,student_enrollment_2010,2010
06220010,Blackstone-Millville - Millville Elem,60,44,50,43,51,37,57,0,0,0,0,0,0,0,0,342,student_enrollment_2010,2010
08060605,Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,0,0,0,0,0,0,0,0,0,0,222,220,204,196,0,842,student_enrollment_2010,2010
00350007,Boston - Agassiz,31,75,87,84,71,73,71,0,0,0,0,0,0,0,0,492,student_enrollment_2010,2010
00350541,Boston - Another Course To College,0,0,0,0,0,0,0,0,0,0,49,52,53,53,0,207,student_enrollment_2010,2010
00350003,Boston - Baldwin ELC,63,36,41,0,0,0,0,0,0,0,0,0,0,0,0,140,student_enrollment_2010,2010
00350021,Boston - Beethoven,44,46,45,48,52,50,0,0,0,0,0,0,0,0,0,285,student_enrollment_2010,2010
00350390,Boston - Blackstone,60,91,86,89,88,82,73,0,0,0,0,0,0,0,0,569,student_enrollment_2010,2010
00350548,Boston - Boston Adult Academy,0,0,0,0,0,0,0,0,0,0,2,16,53,149,0,220,student_enrollment_2010,2010
00350546,Boston - Boston Arts Academy,0,0,0,0,0,0,0,0,0,0,116,115,115,83,1,430,student_enrollment_2010,2010
00350558,Boston - Boston Community Leadership Academy,0,0,0,0,0,0,0,0,0,0,133,112,101,83,2,431,student_enrollment_2010,2010
00350507,Boston - Boston International High School,0,0,0,0,0,0,0,0,0,0,35,56,85,26,0,202,student_enrollment_2010,2010
00350560,Boston - Boston Latin,0,0,0,0,0,0,0,0,369,404,413,423,389,397,0,2395,student_enrollment_2010,2010
00350545,Boston - Boston Latin Academy,0,0,0,0,0,0,0,0,304,275,316,313,294,257,0,1759,student_enrollment_2010,2010
00350413,Boston - Boston Middle School Academy,0,0,0,0,0,0,0,1,3,8,0,0,0,0,0,12,student_enrollment_2010,2010
00350012,Boston - Boston Teachers Union School,22,27,24,22,0,0,0,47,0,0,0,0,0,0,0,142,student_enrollment_2010,2010
00350505,Boston - Brighton High,0,0,0,0,0,0,0,0,0,0,315,249,292,344,8,1208,student_enrollment_2010,2010
00350576,Boston - Brook Farm Business and Service Career Academ,0,0,0,0,0,0,0,0,0,0,98,88,73,80,3,342,student_enrollment_2010,2010
00350036,Boston - Carter Developmental Center,0,0,0,0,0,1,0,1,0,5,1,1,3,6,6,24,student_enrollment_2010,2010
00350054,Boston - Charles H Taylor,26,76,81,72,79,67,75,0,0,0,0,0,0,0,0,476,student_enrollment_2010,2010
00350052,Boston - Charles Sumner,38,78,81,92,74,74,66,0,0,0,0,0,0,0,0,503,student_enrollment_2010,2010
00350515,Boston - Charlestown High,0,0,0,0,0,0,0,0,0,0,224,213,194,236,34,901,student_enrollment_2010,2010
00350430,Boston - Clarence R Edwards Middle,0,0,0,0,0,0,0,224,167,105,0,0,0,0,0,496,student_enrollment_2010,2010
