Org Code,Org Name,Churn Enrollment,% Churn,% Intake,Stability Enrollment,% Stability,Source,Year
02150015,North Brookfield - North Brookfield Elementary,377,9.0,5.0,361,95.0,student_mobility_2013,2013
02150505,North Brookfield - North Brookfield High,237,9.3,6.3,227,94.7,student_mobility_2013,2013
04740505,North Central Charter Essential (District) - North Central Charter Essential School,380,26.1,13.2,352,79.8,student_mobility_2013,2013
07350010,North Middlesex - Ashby Elementary,214,5.6,1.9,211,95.7,student_mobility_2013,2013
07350030,North Middlesex - Hawthorne Brook,591,4.4,2.2,580,97.4,student_mobility_2013,2013
07350310,North Middlesex - Nissitissit Middle School,629,4.8,2.9,613,97.7,student_mobility_2013,2013
07350505,North Middlesex - North Middlesex Regional,1022,6.5,3.1,1003,95.3,student_mobility_2013,2013
07350005,North Middlesex - Spaulding Memorial,494,9.1,4.5,481,93.3,student_mobility_2013,2013
07350002,North Middlesex - Squannacook Early Childhood Center,83,27.7,25.3,63,95.2,student_mobility_2013,2013
07350035,North Middlesex - Varnum Brook,703,10.2,4.4,677,93.2,student_mobility_2013,2013
02170003,North Reading - E Ethel Little School,376,6.6,4.8,363,96.7,student_mobility_2013,2013
02170010,North Reading - J Turner Hood,361,7.2,4.7,351,95.4,student_mobility_2013,2013
02170005,North Reading - L D Batchelder,495,2.8,2.2,489,98.4,student_mobility_2013,2013
02170505,North Reading - North Reading High,737,2.8,0.9,733,97.7,student_mobility_2013,2013
02170305,North Reading - North Reading Middle,676,1.5,0.9,670,99.4,student_mobility_2013,2013
08540605,North Shore Regional Vocational Technical - North Shore Regional Vocational,481,5.2,1.7,480,95.0,student_mobility_2013,2013
02100005,Northampton - Bridge Street,317,16.4,12.0,286,92.7,student_mobility_2013,2013
02100020,Northampton - Jackson Street,328,16.8,7.9,308,88.6,student_mobility_2013,2013
02100410,Northampton - John F Kennedy Middle School,670,9.1,5.8,645,94.4,student_mobility_2013,2013
02100025,Northampton - Leeds,370,8.6,4.9,357,94.7,student_mobility_2013,2013
02100505,Northampton - Northampton High,925,5.2,2.4,910,96.4,student_mobility_2013,2013
02100029,Northampton - R. K. Finn Ryan Road,249,4.4,4.0,240,99.2,student_mobility_2013,2013
04060705,Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,422,4.0,1.7,419,96.7,student_mobility_2013,2013
07300505,Northboro-Southboro - Algonquin Regional High,1502,3.1,1.5,1483,98.2,student_mobility_2013,2013
02130015,Northborough - Fannie E Proctor,305,9.5,5.6,293,94.2,student_mobility_2013,2013
02130003,Northborough - Lincoln Street,312,6.7,3.8,303,96.0,student_mobility_2013,2013
02130014,Northborough - Marguerite E Peaslee,313,4.2,2.2,308,97.4,student_mobility_2013,2013
02130020,Northborough - Marion E Zeh,359,8.4,5.8,350,94.0,student_mobility_2013,2013
02130305,Northborough - Robert E. Melican Middle School,654,3.2,2.4,644,98.3,student_mobility_2013,2013
02140005,Northbridge - Northbridge Elementary,520,15.4,13.3,491,89.6,student_mobility_2013,2013
02140505,Northbridge - Northbridge High,719,9.5,4.9,702,92.7,student_mobility_2013,2013
02140305,Northbridge - Northbridge Middle,809,6.8,3.5,789,95.6,student_mobility_2013,2013
02140001,Northbridge - W Edward Balmer,652,8.0,5.5,623,96.3,student_mobility_2013,2013
08530605,Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,1280,5.4,1.6,1278,94.8,student_mobility_2013,2013
08510605,Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,501,7.8,2.8,492,93.9,student_mobility_2013,2013
