Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
02070080,96.1,6.9,26.1,5.2,2015,0.0
02650505,95.9,7.3,19.5,6.7,2015,0.7
00090020,96.6,6.0,18.2,4.5,2015,0.2
03480110,94.8,8.9,35.0,15.5,2015,1.0
00160320,95.5,7.9,26.1,9.8,2015,0.2
02710035,96.4,6.4,19.9,3.4,2015,0.0
01420015,94.9,8.7,33.8,12.1,2015,0.0
01680300,95.9,7.2,25.9,5.8,2015,0.0
07050505,95.9,7.2,21.9,6.6,2015,0.2
02900305,96.9,5.5,16.7,4.3,2015,0.3
03470410,95.9,7.2,28.1,8.8,2015,0.2
00350141,95.6,7.6,26.9,11.3,2015,2.2
07350505,93.8,10.6,40.6,15.8,2015,2.0
06980010,95.4,8.1,28.7,6.4,2015,0.0
06220010,94.8,8.8,32.6,12.7,2015,0.0
02460002,96.8,5.8,16.4,1.6,2015,0.0
01990505,95.2,8.6,29.3,9.9,2015,0.1
00460015,95.6,7.7,28.1,7.1,2015,0.0
00940010,95.8,7.1,24.7,6.3,2015,0.0
03440005,96.5,6.2,20.6,3.4,2015,1.1
01980310,96.2,6.8,22.6,5.5,2015,0.0
00670020,96.7,6.1,23.2,2.1,2015,0.0
02010095,94.6,9.3,38.8,12.4,2015,4.0
01530030,95.3,8.0,30.7,9.0,2015,0.2
00260005,96.7,5.8,16.5,3.2,2015,0.0
01140305,94.0,9.9,37.9,19.2,2015,0.4
03470043,94.9,8.4,28.8,11.4,2015,2.1
06730001,95.1,7.9,29.2,18.5,2015,0.0
00870305,96.1,6.9,24.8,5.4,2015,0.0
02010410,94.5,9.6,38.2,13.2,2015,0.8
01630405,93.8,10.6,42.3,19.8,2015,1.2
07730405,95.8,7.4,27.1,8.1,2015,0.4
02310003,95.4,8.1,30.2,8.3,2015,0.0
00380005,96.5,6.1,17.4,1.6,2015,0.6
00260010,96.0,7.1,27.2,5.6,2015,0.0
01630100,95.7,7.3,27.9,10.3,2015,4.2
01780025,96.0,7.1,25.7,3.1,2015,0.0
08850605,96.5,6.0,9.8,2.6,2015,0.1
03140025,95.6,7.6,30.3,8.4,2015,0.0
00350360,92.7,11.5,44.0,25.8,2015,0.4
