Org Code,% Emergency Removal,% Expulsion,% In-School Suspension,% Out-of-School Suspension,% Permanent Expulsion,% Removed to Alternate Setting,SCHOOL,Source,Students,Students Disciplined,Year
00350172,,,0.0,3.6,0.0,0.0,Boston - John D Philbrick,student_suspensions_2013,169,6,2013
00350166,,,1.1,1.6,0.0,0.0,Boston - John F Kennedy,student_suspensions_2013,437,11,2013
00350178,,,0.6,6.0,0.0,0.0,Boston - John Marshall,student_suspensions_2013,714,45,2013
00350167,,,0.0,7.5,0.0,0.0,Boston - John P Holland,student_suspensions_2013,801,60,2013
00350179,,,1.9,17.6,0.1,0.0,Boston - John W McCormack,student_suspensions_2013,729,133,2013
00350180,,,1.7,5.1,0.0,0.0,Boston - John Winthrop,student_suspensions_2013,415,24,2013
00350182,,,0.0,3.5,0.0,0.0,Boston - Joseph J Hurley,student_suspensions_2013,344,12,2013
00350183,,,0.0,8.2,0.2,0.0,Boston - Joseph Lee,student_suspensions_2013,441,37,2013
00350184,,,0.6,10.4,0.0,0.0,Boston - Joseph P Manning,student_suspensions_2013,173,19,2013
00350181,,,0.0,1.4,0.0,0.0,Boston - Joseph P Tynan,student_suspensions_2013,433,6,2013
00350286,,,0.0,1.3,0.0,0.0,Boston - Josiah Quincy,student_suspensions_2013,860,11,2013
00350190,,,,,,,Boston - Joyce Kilmer,student_suspensions_2013,455,3,2013
00350376,,,,,,,Boston - King K-8,student_suspensions_2013,530,0,2013
00350001,,,,,,,Boston - Lee Academy,student_suspensions_2013,186,1,2013
00350383,,,0.1,7.6,0.0,0.0,Boston - Lilla G. Frederick Middle School,student_suspensions_2013,682,52,2013
00350262,,,0.5,2.3,0.0,0.0,Boston - Lyndon,student_suspensions_2013,567,13,2013
00350004,,,4.0,3.4,0.0,0.0,Boston - Lyon K-8,student_suspensions_2013,149,7,2013
00350655,,,0.7,14.1,0.0,0.0,Boston - Lyon Upper 9-12,student_suspensions_2013,142,21,2013
00350537,,,0.7,17.1,0.0,0.3,Boston - Madison Park High,student_suspensions_2013,1166,206,2013
00350215,,,,,,,Boston - Manassah E Bradley,student_suspensions_2013,283,0,2013
00350549,,,,,,,Boston - Margarita Muniz Academy,student_suspensions_2013,83,0,2013
00350656,,,0.0,1.9,0.0,0.0,Boston - Mario Umana Academy,student_suspensions_2013,726,14,2013
00350227,,,,,,,Boston - Mather,student_suspensions_2013,639,0,2013
00350226,,,0.0,5.0,0.0,0.0,Boston - Mattahunt,student_suspensions_2013,742,37,2013
00350229,,,0.4,4.0,0.0,0.0,Boston - Maurice J Tobin,student_suspensions_2013,474,21,2013
00350231,,,0.4,7.7,0.0,0.0,Boston - Michael J Perkins,student_suspensions_2013,285,23,2013
00350378,,,0.5,16.3,0.0,0.0,Boston - Mildred Avenue K-8,student_suspensions_2013,602,100,2013
00350382,,,,,,,Boston - Mission Hill School,student_suspensions_2013,221,0,2013
00350237,,,,,,,Boston - Mozart,student_suspensions_2013,184,2,2013
00350243,,,,,,,Boston - Nathan Hale,student_suspensions_2013,181,0,2013
00350542,,,,,,,Boston - New Mission High School,student_suspensions_2013,275,0,2013
00350138,,,0.0,7.3,0.0,0.0,Boston - O W Holmes,student_suspensions_2013,358,26,2013
00350575,,,,,,,Boston - O'Bryant School Math/Science,student_suspensions_2013,1362,2,2013
00350255,,,,,,,Boston - Oliver Hazard Perry,student_suspensions_2013,262,1,2013
00350257,,,0.0,4.6,0.0,0.0,Boston - Orchard Gardens,student_suspensions_2013,904,42,2013
00350264,,,,,,,Boston - Patrick J Kennedy,student_suspensions_2013,301,1,2013
00350268,,,0.8,10.6,0.0,0.0,Boston - Paul A Dever,student_suspensions_2013,631,68,2013
00350278,,,0.0,4.3,0.0,0.0,Boston - Phineas Bates,student_suspensions_2013,327,14,2013
00350565,,,0.0,4.4,0.0,0.0,Boston - Quincy Upper School,student_suspensions_2013,518,23,2013
00350691,,,,,,,Boston - Rafael Hernandez,student_suspensions_2013,429,3,2013
00350240,,,0.6,2.0,0.0,0.0,Boston - Richard J Murphy,student_suspensions_2013,944,22,2013
00350298,,,,,,,Boston - Roger Clap,student_suspensions_2013,189,0,2013
00350302,,,,,,,Boston - Samuel Adams,student_suspensions_2013,303,0,2013
00350304,,,,,,,Boston - Samuel W Mason,student_suspensions_2013,263,0,2013
00350308,,,1.4,4.4,0.0,0.0,Boston - Sarah Greenwood,student_suspensions_2013,427,20,2013
00350690,,,1.2,10.4,0.7,0.5,Boston - Snowden International School at Copley,student_suspensions_2013,414,47,2013
00350657,,,8.0,18.4,0.0,0.1,Boston - TechBoston Academy,student_suspensions_2013,1058,239,2013
00350535,,,0.0,14.1,0.7,0.3,Boston - The English High,student_suspensions_2013,702,101,2013
00350328,,,0.0,2.0,0.0,0.0,Boston - Thomas J Kenny,student_suspensions_2013,346,7,2013
00350579,,,1.8,8.4,0.0,0.0,Boston - Urban Science Academy,student_suspensions_2013,620,60,2013
00350346,,,0.7,3.0,0.0,0.0,Boston - Warren-Prescott,student_suspensions_2013,561,21,2013
00350445,,,1.0,27.8,0.4,0.0,Boston - Washington Irving Middle,student_suspensions_2013,522,146,2013
00350658,,,0.4,14.2,0.1,0.0,Boston - West Roxbury Academy,student_suspensions_2013,733,105,2013
00350366,,,,,,,Boston - William E Russell,student_suspensions_2013,376,2,2013
00350360,,,0.0,6.5,0.0,0.0,Boston - William Ellery Channing,student_suspensions_2013,353,23,2013
