Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
03360080,34,2010,Weymouth - William Seach,0.0,0.0,0.0,0.3,0.3,0.0
03360085,34,2010,Weymouth - Ralph Talbot,0.0,0.0,0.0,0.0,0.0,0.0
03360105,34,2010,Weymouth - Thomas W. Hamilton Primary School,0.0,0.0,0.0,0.0,0.0,0.0
03360110,34,2010,Weymouth - Wessagusset,0.0,0.0,0.0,1.2999999999999998,1.2999999999999998,0.0
03360310,34,2010,Weymouth - Abigail Adams Middle School,0.0,0.0,0.0,0.0,0.0,0.0
03360505,34,2010,Weymouth - Weymouth High School,0.0,0.0,0.0,0.1,0.1,0.0
03370005,34,2010,Whately - Whately Elementary,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0
03400005,34,2010,Williamsburg - Anne T Dunphy,0.0,0.0,0.0,0.0,0.0,0.0
03400015,34,2010,Williamsburg - Helen James,0.0,0.0,0.0,1.0,1.0,0.0
03410010,34,2010,Williamstown - Williamstown Elementary,0.0,0.0,0.0,2.0,2.0,0.0
03420005,34,2010,Wilmington - Boutwell,0.0,0.0,0.0,0.5,0.5,0.0
03420015,34,2010,Wilmington - Wildwood,0.0,0.0,0.0,2.5,2.5,0.0
03420020,34,2010,Wilmington - Woburn Street,0.0,0.0,0.0,1.0,1.0,0.0
